Role Category,Role Subcategory,Role Hierarchy,Role title,Variants,Role class on Compass,Hierarchy or Location,Line manager to help make the application,"Approval process 
(see 4.5)",Approver,Relevant Commissioner or body,Responsible for induction,"Getting Started requirement for full appointment 
(within 5 months)",Training Obligations,Minimum Membership,Ex Officio Charity Trustee role?sv,Criminal Records Disclosure Check Required?++,Appointment Review Required?
SUPPORT ROLES,SUPPORT ROLES - Safety and Safeguarding,Scout County or equivalent,Area Safety Adviser,None,Advisor,"Wales, BSO",Area Commissioner or equivalent ,1,Area Commissioner or equivalent ,Area Commissioner or equivalent ,Area Commissioner or equivalent ,"Module 1, Safety, Safeguarding and GDPR",None ,Associate Member,No,No ,Yes 
SUPPORT ROLES,SUPPORT ROLES - Safety and Safeguarding,Scout County or equivalent,Region (Scotland) Safety Adviser,None,Advisor,Scotland,Region (Scotland) Commissioner or equivalent ,1,Region (Scotland) Commissioner or equivalent ,Region (Scotland) Commissioner or equivalent ,Region (Scotland) Commissioner or equivalent ,"Module 1, Safety, Safeguarding and GDPR",None ,Associate Member,No,No ,Yes 
SUPPORT ROLES,SUPPORT ROLES - Scout Active Support Units,Scout Group,Scout Active Support Manager,None,Manager,Group,Group Scout Leader,1,District Appointments Advisory Committee,District Commissioner or nominee,Group Scout Leader,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Scout Active Support Units,Scout Group,Scout Active Support Co‑ordinator,None,Supporter,Group,The Group's Scout Active Support Manager,1,District Appointments Advisory Committee,District Commissioner or nominee,The Group's Scout Active Support Manager,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Scout Active Support Units,Scout Group,Scout Active Support Member,None,Supporter,Group,The Group's Scout Active Support Manager,None,The Group's Scout Active Support Manager,The Group's Scout Active Support Manager,The Group's Scout Active Support Manager,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,Yes,No
SUPPORT ROLES,SUPPORT ROLES - Scout Active Support Units,Scout District,Scout Active Support Manager,None,Manager,District,District Commissioner or nominee,1,District Appointments Advisory Committee,District Commissioner or nominee,District Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Scout Active Support Units,Scout District,Scout Active Support Co‑ordinator,None,Supporter,District,The District's Scout Active Support Manager,1,District Appointments Advisory Committee,District Commissioner or nominee,The District's Scout Active Support Manager,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Scout Active Support Units,Scout District,Scout Active Support Member,None,Supporter,District,The District's Scout Active Support Manager or nominee,None,The District's Scout Active Support Manager or nominee,The District's Scout Active Support Manager or nominee,The District's Scout Active Support Manager or nominee,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,Yes,No
SUPPORT ROLES,SUPPORT ROLES - Scout Active Support Units,Scout County or equivalent,Scout Active Support Manager,None,Manager,"England, Northern Ireland, Scotland, Wales, BSO",County/Area Commissioner or nominee,1,County/Area/Region(Scotland) Appointments Advisory Committee,County/Area/Region (Scotland)  Commissioner or nominee,County/Area/Region (Scotland)  Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Scout Active Support Units,Scout County or equivalent,Scout Active Support Co‑ordinator,None,Supporter,"England, Northern Ireland, Scotland, Wales, BSO",County Scout Active Support Manager,1,County/Area/Region(Scotland) Appointments Advisory Committee,County/Area/Regional (Scotland)  Commissioner or nominee,The County/Area/Region (Scotland) Scout Active Support Manager,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Scout Active Support Units,Scout County or equivalent,Scout Active Support Member,None,Supporter,"England, Northern Ireland, Scotland, Wales, BSO",County/Area Scout Active Support Manager or nominee,None,County/Area/Region (Scotland) Scout Active Support Manager or nominee,County/Area/Region (Scotland) Scout Active Support Manager or nominee,County/Area/Region (Scotland) Scout Active Support Manager,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,Yes,No
SUPPORT ROLES,SUPPORT ROLES - Scout Active Support Units,Country,Scout Active Support Manager,None,Manager,"Wales, Northern Ireland",Chief Commissioner or nominee,1,Chief Commissioner or nominee,Chief Commissioner or nominee,Chief Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Scout Active Support Units,Country,Scout Active Support Manager,None,Manager,Scotland,Chief Commissioner of Scotland or nominee,1,Scottish Appointments Advisory Committee,Chief Commissioner of Scotland or nominee,Chief Commissioner of Scotland or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Scout Active Support Units,Country,Scout Active Support Co-ordinator,None,Supporter,"Wales, Northern Ireland",Country Active Support Manager or nominee,1,Chief Commissioner or nominee,Chief Commissioner or nominee,Country Active Support Manager or nominee,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Scout Active Support Units,Country,Scout Active Support Co-ordinator,None,Supporter,Scotland,Country Active Support Manager or nominee,1,Scottish Appointments Advisory Committee,(Scotland) Scout Active Support Manager,Country Active Support Manager or nominee,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Scout Active Support Units,Country,Scout Active Support member,None,Supporter,"Wales, Northern Ireland, Scotland",Country Active Support Manager or nominee,None,Country Active Support Manager or nominee,Chief Commissioner or nominee,Country Active Support Manager or nominee,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,Yes,No
SUPPORT ROLES,SUPPORT ROLES - Scout Active Support Units,Headquarters,Scout Active Support Manager,None,Manager,National SASUs,UK Commissioner or nominee,4,UK Headquarters Appointments Advisory Committee,UK Commissioner or nominee,UK Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Scout Active Support Units,Headquarters,Scout Active Support Co-ordinator,None,Supporter,National SASUs,(National) Scout Active Support Manager,4,UK Headquarters Appointments Advisory Committee,UK Commissioner or nominee,(National) Scout Active Support Manager,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Scout Active Support Units,Headquarters,Scout Active Support member,None,Supporter,National SASUs,(National) Scout Active Support Manager or nominee,None,None,National Scout Active Manager or nominee,(National) Scout Active Support Manager,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,Yes,No
SUPPORT ROLES,SUPPORT ROLES - Youth Commissioners,Scout District,District Youth Commissioner,None,Commissioner,"District - BSO, England, Northern Ireland, Wales",District Commissioner or nominee,1,District Appointments Advisory Committee,District Commissioner or nominee,District Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2, 4 and Trustee Introduction","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,Yes,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Youth Commissioners,Scout District,Deputy District Youth Commissioner,None,Commissioner,"District - BSO, England, Northern Ireland, Wales",District Commissioner or nominee,1,District Appointments Advisory Committee,District Commissioner or nominee,District Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Youth Commissioners,Scout District,Assistant District Commissioner (Youth Involvement),None,Commissioner,Scotland,District Commissioner or nominee,1,District Appointments Advisory Committee,District Commissioner or nominee,District Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2, 4 and Trustee Introduction","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Youth Commissioners,Scout County,County Youth Commissioner,None,Commissioner,"England, Northern Ireland",County Commissioner or nominee,1,County Appointments Advisory Committee,County Commissioner or nominee,County Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2, 4 and Trustee Introduction","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,Yes,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Youth Commissioners,Scout County,Deputy County Youth Commissioner,None,Commissioner,"England, Northern Ireland",County Commissioner or nominee,1,County Appointments Advisory Committee,County Commissioner or nominee,County Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Youth Commissioners,Scout County,Area Youth Commissioner,None,Commissioner,"Wales, BSO",Area Commissioner or nominee,1,Area Appointments Advisory Committee,Area Commissioner or nominee,Area Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2, 4 and Trustee Introduction","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,Yes,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Youth Commissioners,Scout County,Deputy Area Youth Commissioner,None,Commissioner,"Wales, BSO",Area Commissioner or nominee,1,Area Appointments Advisory Committee,Area Commissioner or nominee,Area Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Youth Commissioners,Scout County,Assistant Regional Commissioner (Youth Involvement),None,Commissioner,Scotland,Region (Scotland) Commissioner or nominee,1,RegionAppointments Advisory Committee,Region (Scotland) Commissioner or nominee,Region (Scotland) Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2, 4 and Trustee Introduction","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Youth Commissioners,Country,Country Youth Commissioner,None,Commissioner,"Northern Ireland, Wales",Chief Commissioner Northern Ireland or Wales,4,UK Board of Trustees,Chief Commissioner Northern Ireland or Wales,Chief Commissioner Northern Ireland or Wales (or nominee),"Modules 1, GDPR, Safety, Safeguarding, 2, 4 and Trustee Introduction","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,Yes,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Youth Commissioners,Country,Deputy Country Youth Commissioner,None,Commissioner,"Northern Ireland, Wales",Chief Commissioner Northern Ireland or Wales,1,Northern Ireland Appointments Advisory Committee,Chief Commissioner Northern Ireland or Wales,Chief Commissioner Northern Ireland or Wales (or nominee),"Modules 1, GDPR, Safety, Safeguarding, 2, 4 ","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Youth Commissioners,Country,Scotland Commissioner (Youth Involvement),None,Commissioner,Scotland,Chief Commissioner for Scotland,4,UK Board of Trustees,Chief Commissioner for Scotland,Chief Commissioner for Scotland (or nominee),"Modules 1, GDPR, Safety, Safeguarding, 2, 4 and Trustee Introduction","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,Yes,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Youth Commissioners,Headquarters,UK Youth Commissioner,None,Commissioner,Headquarters,UK Chief Commissioner,4,UK Board of Trustees,UK Chief Commissioner,UK Chief Commissioner,"Modules 1, GDPR, Safety, Safeguarding, 2, 4 and Trustee Introduction","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,Yes,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Youth Commissioners,Headquarters,Deputy UK Youth Commissioner,None,Commissioner,Headquarters,UK Youth Commissioner,4,UK Headquarters Appointments Advisory Committee,UK Youth Commissioner,UK Youth Commissioner,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
